symbol, market_cap
MMM,56365645824
AOS,10394270720
ABT,169806397440
ABBV,278487138304
ACN,183361503232
ATVI,66263306240
ADM,43250577408
ADBE,172447498240
ADP,89968254976
AAP,6827156480
AES,15444579328
AFL,39250309120
A,39536480256
APD,61317120000
AKAM,11970741248
ALK,5137391616
ALB,26048002048
ARE,21049110528
ALGN,23692503040
ALLE,9208503296
LNT,13232460800
ALL,28452806656
GOOGL,1296389767168
GOOG,1293636468736
MO,79680618496
AMZN,1023905103872
AMCR,16529302528
AMD,154693435392
AEE,22429681664
AAL,9240548352
AEP,46234898432
AXP,120553570304
AIG,35601657856
AMT,91634475008
AWK,27802984448
AMP,31555276800
ABC,32000247808
AME,32667662336
AMGN,127433367552
APH,47122444288
ADI,94705795072
ANSS,27933675520
AON,63879172096
APA,11150774272
AAPL,2534035423232
AMAT,100552146944
APTV,29598332928
ACGL,25247543296
ANET,49801035776
AJG,40207568896
AIZ,6210797056
T,134968434688
ATO,15987729408
ADSK,42780479488
AZO,43954405376
AVB,22546708480
AVY,14122698752
BKR,28423612416
BALL,17037065216
BAC,227299557376
BBWI,8555848704
BAX,20236085248
BDX,68900184064
WRB,16321797120
BBY,16035081216
BIO,14061780992
TECH,11440970752
BIIB,39358709760
BLK,98238570496
BK,35833483264
BA,124167454720
BKNG,96789512192
BWA,11207652352
BXP,8200275456
BSX,70637584384
BMY,142982332416
AVGO,262783025152
BR,16798321664
BRO,15958011904
BG,14542822400
CHRW,11291084800
CDNS,56294510592
CZR,9680993280
CPT,10852993024
CPB,16481661952
COF,35441176576
CAH,18848870400
KMX,9289441280
CCL,12710283264
CARR,37956870144
CTLT,11909351424
CAT,114707185664
CBOE,14042671104
CBRE,21429032960
CDW,25443162112
CE,11672088576
CNC,34801360896
CNP,18352721920
CDAY,10695664640
CF,14302183424
CRL,9873852416
SCHW,98139848704
CHTR,53604929536
CVX,305162518528
CMG,45632319488
CB,79488253952
CHD,21130543104
CI,76099854336
CINF,17297219584
CTAS,47087656960
CSCO,207555674112
C,88855904256
CFG,15042636800
CLX,19380455424
CME,67459010560
CMS,17787856896
KO,267603902464
CTSH,30226657280
CL,62236905472
CMCSA,155235319808
CMA,5785300992
CAG,17920987136
COP,120897003520
ED,33830463488
STZ,40977702912
CEG,24919015424
COO,17710950400
CPRT,35077242880
GLW,28822833152
CTVA,41829912576
CSGP,27672698880
COST,216739184640
CTRA,18375923712
CCI,56065208320
CSX,60459409408
CMI,32635584512
CVS,94510489600
DHI,32989765632
DHR,181302755328
DRI,18761435136
DVA,7063404032
DE,118429294592
DAL,21109585920
XRAY,8179448832
DVN,32363190272
DXCM,44103364608
FANG,24308234240
DLR,27678380032
DFS,24947935232
DISH,4732564480
DIS,175063203840
DG,45320298496
DLTR,31531626496
D,46214438912
DPZ,11634944000
DOV,20340875264
DOW,37728735232
DTE,22142183424
DUK,73881788416
DD,32225742848
DXC,5664728064
EMN,9811013632
ETN,66276696064
EBAY,23373070336
ECL,45800558592
EIX,26642317312
EW,49355476992
EA,32500131840
ELV,108471525376
LLY,321666613248
EMR,48003313664
ENPH,26593710080
ETR,22547394560
EOG,65595879424
EPAM,16466491392
EQT,11102691328
EFX,24541890560
EQIX,64215019520
EQR,22396471296
ESS,13535355904
EL,86522150912
ETSY,13260160000
RE,14065266688
EVRG,13779572736
ES,26914068480
EXC,40895520768
EXPE,14460717056
EXPD,16211701760
EXR,21891690496
XOM,440243126272
FFIV,8458367488
FDS,15347960832
FICO,17354297344
FAST,30212403200
FRT,7741425664
FDX,55817740288
FITB,18184073216
FRC,2607066112
FSLR,22199191552
FE,22429143040
FIS,30304110592
FISV,70284156928
FLT,15067982848
FMC,15139679232
F,47136579584
FTNT,50838835200
FTV,23523053568
FOXA,17119190016
FOX,17105818624
BEN,13317028864
FCX,56419262464
GRMN,18795282432
IT,25106483200
GEHC,35097559040
GEN,10689433600
GNRC,6838568960
GD,62154039296
GE,102617153536
GIS,49960329216
GM,48770564096
GPC,22568429568
GILD,101379203072
GL,10597062656
GPN,26916519936
GS,106864467968
HAL,28461697024
HIG,21563365376
HAS,7086539264
HCA,71126999040
PEAK,11629071360
HSIC,10525366272
HSY,51823104000
HES,40020791296
HPE,19684263936
HLT,35923804160
HOLX,19421057024
HD,286979948544
HON,125890945024
HRL,21530667008
HST,11094598656
HWM,17049963520
HPQ,27663083520
HUM,60416229376
HBAN,16266554368
HII,8288176128
IBM,116136189952
IEX,16934956032
IDXX,40779767808
ITW,72111505408
ILMN,35376197632
INCY,15823825920
IR,22888169472
PODD,21818550272
INTC,125847535616
ICE,56048259072
IFF,22865481728
IP,12231934976
IPG,13557728256
INTU,120460836864
ISRG,87129923584
IVZ,7282836992
INVH,18495244288
IQV,35945689088
IRM,14736791552
JBHT,17859854336
JKHY,10925248512
J,14620261376
JNJ,475557199872
JCI,40914341888
JPM,380105523200
JNPR,10740893696
K,22780841984
KDP,49584398336
KEY,11667096576
KEYS,27888551936
KMB,44665413632
KIM,11449404416
KMI,38654357504
KLAC,52789960704
KHC,47546253312
KR,35057381376
LHX,36693991424
LH,19739924480
LRCX,67496337408
LW,14789940224
LVS,42012090368
LDOS,12507884544
LEN,28942499840
LNC,3617944576
LIN,172394151936
LYV,15882511360
LKQ,14868005888
LMT,120307318784
L,13305586688
LOW,114812035072
LYB,29717432320
MTB,20298035200
MRO,14872428544
MPC,58934984704
MKTX,14392811520
MAR,49767387136
MMC,81164050432
MLM,21628819456
MAS,10948244480
MA,340984561664
MTCH,11091955712
MKC,21956143104
MCD,202770989056
MCK,48735223808
MDT,105010044928
MRK,266272702464
META,527342960640
MET,43333296128
MTD,32979789824
MGM,15920623616
MCHP,43662077952
MU,69235376128
MSFT,2087464861696
MAA,17475962880
MRNA,57627971584
MHK,6142123008
MOH,15434240000
TAP,11220710400
MDLZ,95663456256
MPWR,22959953920
MNST,54226157568
MCO,54601330688
MS,144630022144
MOS,15195753472
MSI,46258839552
MSCI,43794460672
NDAQ,26186110976
NTAP,13178686464
NFLX,146358845440
NWL,4971472384
NEM,38617063424
NWSA,9715255296
NWS,9708320768
NEE,151030120448
NKE,185315180544
NI,11374908416
NDSN,12390708224
NSC,47032426496
NTRS,17893593088
NOC,70492225536
NCLH,5426019328
NRG,7632392192
NUE,37720309760
NVDA,671097094144
NVR,17619810304
NXPI,46043860992
ORLY,50884083712
OXY,55640018944
ODFL,36707422208
OMC,18177161216
ON,33667586048
OKE,27662854144
